idc;grad;idg;idm;idd;isg;ism;isd;Grad.;Mest.;Dout.;InstG;InstM;InstD;
2218;48;141;142;43;43;43;Engenharia Civil;Ciência e Engenharia de Materiais;Ciência e Engenharia de Materiais;Universidade do Estado de Santa Catarina;Universidade do Estado de Santa Catarina;Universidade do Estado de Santa Catarina;
2238;15;16;17;1;1;1;Engenharia Mecânica;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
2263;617;0;50;1;0;1;Engenharia de Produção Civil;;Engenharia Civil;Universidade Federal de Santa Catarina;;Universidade Federal de Santa Catarina;
2265;15;16;1670;1;1;262;Engenharia Mecânica;Engenharia Mecânica;Process Technology;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Eindhoven University of Technology;
2300;459;16;17;306;1;1;Engenharia Mecanica;Engenharia Mecânica;Engenharia Mecânica;Universidad Francisco de Paula Santander;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
907;672;16;17;50;1;1;Bacharelado Em Física;Engenharia Mecânica;Engenharia Mecânica;Universidade Estadual de Ponta Grossa;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
910;163;148;127;641;642;643;Matemática;Matemática;Engenharia Elétrica;UNESP-Faculdade de Ciencias e Tecnologia - Júlio ;ICMC-USP Universidade de São Paulo - São Carlos;Faculdade de Engenharia de Ilha Solteira;
969;371;46;47;1;1;1;Física;Física;Física;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
2394;1143;46;17;1;20;1;Fisica Bacharelado;Física;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Estadual Paulista Júlio de Mesquita ;Universidade Federal de Santa Catarina;
1011;30;31;32;1;1;1;Engenharia Química;Engenharia Química;Engenharia Química;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1019;988;46;47;20;20;20;Bacharelado em Física;Física;Física;Universidade Estadual Paulista Júlio de Mesquita ;Universidade Estadual Paulista Júlio de Mesquita ;Universidade Estadual Paulista Júlio de Mesquita ;
1023;15;141;17;43;43;1;Engenharia Mecânica;Ciência e Engenharia de Materiais;Engenharia Mecânica;Universidade do Estado de Santa Catarina;Universidade do Estado de Santa Catarina;Universidade Federal de Santa Catarina;
1045;791;0;127;137;0;276;Engenharia Eletrica;;Engenharia Elétrica;Universidade Federal de Minas Gerais;;Ecole Centrale de Lyon;
1052;42;1921;28;95;1;8;Arquitetura e Urbanismo;Engenharia Civil - Cadastro Téc e Gestão Territ;Geografia (Geografia Física);Universidade do Vale do Rio dos Sinos;Universidade Federal de Santa Catarina;Universidade de São Paulo;
1054;1923;120;127;715;10;262;Ingeniería Electrónica;Engenharia Elétrica;Engenharia Elétrica;Universidade Nacional de Colômbia;Universidade Estadual de Campinas;Eindhoven University of Technology;
1065;1091;724;725;1;1;1;Ciencias Biologicas;Engenharia Ambiental;Engenharia Ambiental;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1091;163;10;11;1;1;1;Matemática;Engenharia de Produção;Engenharia de Produção;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1113;1965;16;17;43;10;10;ENGENHARIA MECÂNICA;Engenharia Mecânica;Engenharia Mecânica;Universidade do Estado de Santa Catarina;Universidade Estadual de Campinas;Universidade Estadual de Campinas;
1136;48;49;50;43;29;29;Engenharia Civil;Engenharia Civil;Engenharia Civil;Universidade do Estado de Santa Catarina;Universidade Federal do Rio Grande do Sul;Universidade Federal do Rio Grande do Sul;
1205;15;2023;2024;759;759;761;Engenharia Mecânica;Engenharia Mecânica/Processos de fabricação;Engenharia Metalurgica e de Materiais;Instituto Superior Politécnico José Antonio Eche;Instituto Superior Politécnico José Antonio Eche;Escola Politécnica da Universidade de São Paulo;
1228;452;10;11;122;1;1;Administração;Engenharia de Produção;Engenharia de Produção;Universidade Federal do Rio Grande;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1286;349;464;470;43;1;164;Bacharelado em Ciência da Computação;Ciências da Computação;Engenharia Eletrônica e Computação;Universidade do Estado de Santa Catarina;Universidade Federal de Santa Catarina;Instituto Tecnológico de Aeronáutica;
1290;15;588;425;1;1;1;Engenharia Mecânica;Programa de Pós-Graduação em Egenharia Mecânica;Programa de Pós Graduação em Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1296;30;1254;1255;349;349;349;Engenharia Química;Engenharia de Transportes;Engenharia de Transportes;Universidade Federal do Ceará;Universidade Federal do Ceará;Universidade Federal do Ceará;
1314;860;46;47;43;164;164;Licenciatura Plena em Física;Física;Física;Universidade do Estado de Santa Catarina;Instituto Tecnológico de Aeronáutica;Instituto Tecnológico de Aeronáutica;
1336;456;424;425;1;1;1;Engenharia de Alimentos;Programa de Pós Graduação em Engenharia Mecânica;Programa de Pós Graduação em Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1364;15;16;17;29;1;1;Engenharia Mecânica;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal do Rio Grande do Sul;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1373;48;49;50;28;29;29;Engenharia Civil;Engenharia Civil;Engenharia Civil;Universidade do Sul de Santa Catarina;Universidade Federal do Rio Grande do Sul;Universidade Federal do Rio Grande do Sul;
1378;42;0;45;820;0;14;Arquitetura e Urbanismo;;Arquitetura e Urbanismo;Centro Universitário – Católica de Santa Catari;;Universidade Presbiteriana Mackenzie;
1382;2160;16;17;30;1;1;Enegenharia Mecânica;Engenharia Mecânica;Engenharia Mecânica;Universidade Estadual de Maringá;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1385;150;0;2162;1;0;1;Engenharia Elétrica;;Engenharia Mecânica (Conceito CAPES 7);Universidade Federal de Santa Catarina;;Universidade Federal de Santa Catarina;
1443;423;16;425;1;1;1;Engenharia de Materiais;Engenharia Mecânica;Programa de Pós Graduação em Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1474;163;148;186;4;4;4;Matemática;Matemática;Matemática Aplicada;Universidade Federal do Paraná;Universidade Federal do Paraná;Universidade Federal do Paraná;
220;0;46;598;0;221;221;;Física;Doutorado em Física;;Fundação Instituto de Física Teórica;Fundação Instituto de Física Teórica;
278;0;16;17;0;1;1;;Engenharia Mecânica;Engenharia Mecânica;;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
432;0;120;1015;0;119;271;;Engenharia Elétrica;Engenharia Elétrica e Informática Industrial;;Universidade Federal de Uberlândia;Universidade Tecnológica Federal do Paraná;
2064;0;144;11;0;1;1;;Matemática e Computação Científica;Engenharia de Produção;;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
2088;0;194;11;0;1;1;;Administração;Engenharia de Produção;;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
829;0;31;32;0;1;1;;Engenharia Química;Engenharia Química;;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
950;0;1813;1814;0;8;8;;Psicologia Escolar e do Desenvolvimento Humano;Psicologia Escolar e do Desenvolvimento Humano;;Universidade de São Paulo;Universidade de São Paulo;
246;0;0;661;0;0;241;;;Aerospace Engineering;;;Cornell University;
